1;1;3;1;gekündigt;2015-10-16;2015-11-09;Umzug ins Ausland;2016-11-16;1;2016-12-01
2;1;5;NULL;aktiv;2016-07-27;2016-08-07;NULL;NULL;0;NULL
3;1;1;1;gekündigt;2017-06-09;2017-06-30;Unzufriedenheit mit Service;2019-03-25;1;2019-05-23
4;2;3;1;aktiv;2017-01-25;2017-01-28;NULL;NULL;0;NULL
5;2;2;3;gekündigt;2017-11-02;2017-11-17;Umzug ins Ausland;2018-08-18;1;2018-09-29
6;2;1;NULL;aktiv;2018-07-17;2018-07-20;NULL;NULL;0;NULL
7;3;3;NULL;aktiv;2015-09-22;2015-10-09;NULL;NULL;0;NULL
8;3;5;NULL;gekündigt;2016-07-29;2016-08-20;Umzug ins Ausland;2018-09-07;1;2018-10-01
9;3;5;NULL;gekündigt;2017-03-01;2017-03-25;Schlechter Empfang;2018-09-21;1;2018-10-13
10;4;3;1;aktiv;2016-06-27;2016-07-10;NULL;NULL;0;NULL
11;5;5;1;gekündigt;2015-07-11;2015-07-11;Persönliche Gründe;2016-06-13;1;2016-07-01
12;5;4;1;aktiv;2016-02-29;2016-03-22;NULL;NULL;0;NULL
13;6;1;2;gekündigt;2022-11-02;2022-11-24;Wechsel zum Mitbewerber;2024-12-15;1;2025-02-08
14;6;4;NULL;aktiv;2023-07-20;2023-07-21;NULL;NULL;0;NULL
15;6;2;NULL;aktiv;2024-02-11;2024-02-15;NULL;NULL;0;NULL
16;7;5;NULL;gekündigt;2019-03-09;2019-03-28;Zu teuer;2020-04-15;1;2020-05-26
17;7;5;2;gekündigt;2019-06-10;2019-06-19;Besseres Angebot;2020-10-15;1;2020-11-08
18;7;3;NULL;aktiv;2019-11-02;2019-11-11;NULL;NULL;0;NULL
19;8;1;NULL;gekündigt;2016-01-16;2016-02-08;Persönliche Gründe;2019-12-17;1;2020-02-04
20;8;3;2;aktiv;2016-04-19;2016-04-27;NULL;NULL;0;NULL
21;9;2;2;aktiv;2016-05-05;2016-05-28;NULL;NULL;0;NULL
22;9;2;NULL;gekündigt;2017-03-28;2017-04-08;Besseres Angebot;2021-01-24;1;2021-03-25
23;9;1;2;aktiv;2018-02-09;2018-02-16;NULL;NULL;0;NULL
24;10;1;2;aktiv;2017-09-17;2017-09-24;NULL;NULL;0;NULL
25;11;2;NULL;aktiv;2017-07-14;2017-07-23;NULL;NULL;0;NULL
26;11;5;NULL;aktiv;2018-03-14;2018-03-17;NULL;NULL;0;NULL
27;12;5;3;gekündigt;2022-03-25;2022-04-18;Schlechter Empfang;2024-04-17;1;2024-05-31
28;12;3;1;aktiv;2022-11-17;2022-11-24;NULL;NULL;0;NULL
29;12;2;NULL;aktiv;2023-01-16;2023-02-12;NULL;NULL;0;NULL
30;13;2;NULL;gekündigt;2016-01-19;2016-02-15;Besseres Angebot;2017-04-03;1;2017-05-07
31;13;4;NULL;gekündigt;2016-08-12;2016-09-10;Wechsel zum Mitbewerber;2019-01-21;1;2019-03-08
32;14;4;NULL;gekündigt;2022-12-31;2023-01-26;Umzug ins Ausland;2025-12-06;1;2026-01-04
33;15;3;1;aktiv;2015-03-28;2015-04-19;NULL;NULL;0;NULL
34;16;2;2;aktiv;2020-04-27;2020-05-15;NULL;NULL;0;NULL
35;16;3;NULL;aktiv;2020-08-16;2020-08-20;NULL;NULL;0;NULL
36;17;2;1;aktiv;2018-11-02;2018-11-19;NULL;NULL;0;NULL
37;18;4;1;aktiv;2017-03-04;2017-03-30;NULL;NULL;0;NULL
38;18;1;1;gekündigt;2017-12-13;2018-01-02;Unzufriedenheit mit Service;2020-07-09;1;2020-08-24
39;19;5;1;aktiv;2021-04-18;2021-05-13;NULL;NULL;0;NULL
40;20;4;1;aktiv;2019-09-26;2019-10-19;NULL;NULL;0;NULL
41;20;4;NULL;gekündigt;2020-09-24;2020-09-30;Keine Nutzung mehr;2021-03-19;1;2021-04-08
42;21;3;NULL;aktiv;2017-01-30;2017-02-15;NULL;NULL;0;NULL
43;21;1;1;aktiv;2017-09-04;2017-10-01;NULL;NULL;0;NULL
44;22;2;2;aktiv;2016-12-18;2017-01-12;NULL;NULL;0;NULL
45;22;1;NULL;aktiv;2017-06-13;2017-06-25;NULL;NULL;0;NULL
46;22;5;1;gekündigt;2018-02-28;2018-03-08;Wechsel zum Mitbewerber;2021-12-28;1;2022-02-23
47;23;4;NULL;aktiv;2021-11-21;2021-12-16;NULL;NULL;0;NULL
48;24;3;1;aktiv;2015-10-19;2015-11-18;NULL;NULL;0;NULL
49;24;5;1;aktiv;2016-02-27;2016-03-07;NULL;NULL;0;NULL
50;24;1;NULL;gekündigt;2016-12-09;2016-12-23;Besseres Angebot;2018-01-14;1;2018-03-14
